Filename,Result,Wall_Time
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p250.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p599.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p128.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p610.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p062.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p574.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p463.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p281.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p468.btor2,memout,0
2019/beem/elevator.3.prop1-back-serstep.btor2,unsat,1.47562
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p568.btor2,memout,0
2019/mann/unsafe/analog_estimation_convergence.btor2,sat,3.13181
2024/yosyshq/appnote_123/veer_axi/yosyshq_appnote_123_veer_axi-p62.btor2,memout,0
2019/beem/anderson.3.prop1-func-interl.btor2,sat,751.595
2024/yosyshq/appnote_123/veer_axi/yosyshq_appnote_123_veer_axi-p06.btor2,unknown,0
2019/beem/pgm_protocol.7.prop2-back-serstep.btor2,unknown,0
2019/beem/brp2.3.prop2-func-interl.btor2,unknown,0
2019/beem/lamport_nonatomic.5.prop1-back-serstep.btor2,unknown,0
2019/mann/safe/analog_estimation_convergence.btor2,unsat,0.415055
2019/goel/opensource/vis_arrays_bpbs_p2/vis_arrays_bpbs_p2.btor2,sat,0.0108406
2019/goel/opensource/h_Arbiter/h_Arbiter.btor2,unsat,0.0429075
2019/mann/unknown/ridecore.btor2,unknown,0
2019/mann/data-integrity/unsafe/arbitrated_top_n5_w64_d8_e0.btor2,unknown,0
2019/goel/opensource/vis_arrays_vsa16a_p6/vis_arrays_vsa16a_p6.btor2,sat,72.0485
2019/goel/industry/cal41/cal41.btor2,unsat,0.681859
2019/goel/industry/cal182/cal182.btor2,unsat,35.1673
2019/goel/industry/gen45/gen45.btor2,unsat,29.2434
2019/goel/industry/cal27/cal27.btor2,unsat,40.7559
2019/goel/industry/cal178/cal178.btor2,unsat,0.0883351
2019/goel/industry/cal75/cal75.btor2,unsat,1.16969
2019/mann/data-integrity/unsafe/circular_pointer_top_w64_d8_e0.btor2,unknown,0
2019/mann/data-integrity/unsafe/shift_register_top_w32_d64_e0.btor2,unknown,0
2019/mann/data-integrity/unsafe/arbitrated_top_n5_w128_d128_e0.btor2,memout,0
2019/mann/data-integrity/unsafe/arbitrated_top_n4_w8_d32_e0.btor2,unknown,0
2019/goel/industry/gen112/gen112.btor2,unsat,1673.51
2019/goel/industry/gen102/gen102.btor2,unsat,1312.12
2019/goel/industry/cal97/cal97.btor2,unsat,2079.27
2019/goel/industry/gen53/gen53.btor2,unsat,1507.66
2019/goel/industry/gen103/gen103.btor2,unsat,1184.75
2019/mann/data-integrity/unsafe/arbitrated_top_n2_w32_d32_e0.btor2,unknown,0
2019/goel/crafted/sw_ball2004_2/sw_ball2004_2.btor2,unknown,0
2019/wolf/2019A/picorv32_mutCY_nomem-p8.btor2,memout,0
2019/wolf/2018D/zipcpu-busdelay-p09.btor2,unsat,0.0270586
2019/wolf/2018D/zipcpu-busdelay-p10.btor2,unsat,66.1755
2019/wolf/2018D/zipcpu-zipmmu-p12.btor2,unsat,81.8953
2019/wolf/2018D/zipcpu-zipmmu-p49.btor2,unsat,0.262707
2019/wolf/2018D/zipcpu-zipmmu-p27.btor2,unsat,0.150105
2019/wolf/2018D/picorv32-check-p09.btor2,unsat,0.73647
2019/wolf/2019A/picorv32_mutCX_nomem-p1.btor2,memout,0
2019/wolf/2019C/qspiflash_qflexpress_divfive-p025.btor2,unsat,0.0504935
2019/goel/industry/cal205/cal205.btor2,unknown,0
2019/goel/industry/cal235/cal235.btor2,unknown,0
2019/goel/industry/mul9/mul9.btor2,unknown,0
2019/wolf/2019C/dspfilters_fastfir_second-p24.btor2,unsat,0.444946
2019/wolf/2019A/picorv32_mutCX_nomem-p2.btor2,unknown,0
2019/wolf/2019C/vgasim_imgfifo-p020.btor2,unsat,0.0633546
2019/wolf/2019C/zipversa_composecrc_prf-p12.btor2,unsat,1.78255
2019/wolf/2019C/qspiflash_dualflexpress_divfive-p063.btor2,memout,0
2019/wolf/2019C/qspiflash_dualflexpress_divfive-p040.btor2,unsat,2711.51
2019/wolf/2019C/vgasim_imgfifo-p061.btor2,unsat,0.0707946
2019/wolf/2018D/VexRiscv-regch0-20-p1.btor2,unknown,0
2019/wolf/2018D/ponylink-slaveTXlen-sat.btor2,unknown,0
2019/wolf/2019C/vgasim_imgfifo-p040.btor2,unsat,0.905774
2019/wolf/2019C/qspiflash_dualflexpress_divthree-p132.btor2,unsat,0.055277
2019/wolf/2019C/qspiflash_qflexpress_divfive-p093.btor2,unknown,0
2019/wolf/2019C/qspiflash_dualflexpress_divthree-p160.btor2,unknown,0
2019/wolf/2019C/qspiflash_qflexpress_divfive-p112.btor2,unsat,57.5381
2019/wolf/2019C/qspiflash_dualflexpress_divfive-p114.btor2,memout,0
2019/wolf/2019C/qspiflash_dualflexpress_divfive-p020.btor2,unsat,0.0587609
2019/wolf/2019C/dspfilters_fastfir_second-p06.btor2,memout,0
2019/wolf/2019C/qspiflash_dualflexpress_divfive-p162.btor2,unknown,0
2019/wolf/2019B/marlann_compute_cp_fail2-p1.btor2,sat,4.8579
2020/mann/stack-p2.btor2,unsat,2.88172
2020/mann/rast-p10.btor2,unsat,1.71323
2019/wolf/2019C/qspiflash_dualflexpress_divfive-p027.btor2,unknown,0
2019/wolf/2019C/qspiflash_dualflexpress_divthree-p050.btor2,unknown,0
2019/wolf/2019C/qspiflash_qflexpress_divfive-p131.btor2,unknown,0
2019/wolf/2019C/qspiflash_qflexpress_divfive-p088.btor2,memout,0
2019/wolf/2019C/qspiflash_dualflexpress_divthree-p127.btor2,memout,0
2019/wolf/2019C/qspiflash_dualflexpress_divthree-p119.btor2,unknown,0
2019/wolf/2019C/qspiflash_dualflexpress_divthree-p061.btor2,memout,0
