index,benchmark,outer_selects,outer_updates,fallback_selects,fallback_updates,fallback_arms,fallback_limits,reward_sum,nonzero_reward_updates,mab_lines
147,benchmarks/wordlevel/array/2024/sosylab/array-lopstr16/flag_loopdep.btor2,0,0,0,0,,,0,0,
148,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array10_pattern.btor2,0,0,0,0,,,0,0,
149,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array16_pattern.btor2,0,0,0,0,,,0,0,
150,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array17_pattern.btor2,0,0,0,0,,,0,0,
151,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array18_pattern.btor2,0,0,0,0,,,0,0,
152,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array22_pattern.btor2,0,0,0,0,,,0,0,
153,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array23_pattern.btor2,0,0,0,0,,,0,0,
154,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array29_pattern.btor2,0,0,0,0,,,0,0,
155,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array4_pattern.btor2,0,0,0,0,,,0,0,
156,benchmarks/wordlevel/array/2024/sosylab/array-patterns/array5_pattern.btor2,0,0,0,0,,,0,0,
157,benchmarks/wordlevel/array/2024/sosylab/array-programs/partial_mod_count_5.btor2,0,0,0,0,,,0,0,
158,benchmarks/wordlevel/array/2024/sosylab/array-programs/partial_mod_count_limited_1.btor2,0,0,0,0,,,0,0,
159,benchmarks/wordlevel/array/2024/sosylab/array-programs/partial_mod_count_limited_3.btor2,0,0,0,0,,,0,0,
160,benchmarks/wordlevel/array/2024/sosylab/array-tiling/mbpr2.btor2,0,0,0,0,,,0,0,
161,benchmarks/wordlevel/array/2024/sosylab/array-tiling/skippedu.btor2,0,0,0,0,,,0,0,
162,benchmarks/wordlevel/array/2024/sosylab/ddv-machzwd/ddv_machzwd_all.btor2,0,0,0,0,,,0,0,
163,benchmarks/wordlevel/array/2024/sosylab/ddv-machzwd/ddv_machzwd_inw.btor2,0,0,0,0,,,0,0,
164,benchmarks/wordlevel/array/2024/sosylab/ldv-regression/test28-2.btor2,0,0,0,0,,,0,0,
165,benchmarks/wordlevel/array/2024/sosylab/loops/array-1.btor2,0,0,0,0,,,0,0,
166,benchmarks/wordlevel/array/2024/sosylab/loops/n.c11.btor2,0,0,0,0,,,0,0,
167,benchmarks/wordlevel/array/2024/sosylab/loops/string-2.btor2,0,0,0,0,,,0,0,
168,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec11_productSimulator.cil.btor2,0,0,0,0,,,0,0,
169,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec1_product28.cil.btor2,0,0,0,0,,,0,0,
170,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec1_product35.cil.btor2,0,0,0,0,,,0,0,
171,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec27_product34.cil.btor2,0,0,0,0,,,0,0,
172,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec8_product14.cil.btor2,0,0,0,0,,,0,0,
173,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec8_product29.cil.btor2,0,0,0,0,,,0,0,
174,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec9_product12.cil.btor2,0,0,0,0,,,0,0,
175,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec9_product14.cil.btor2,0,0,0,0,,,0,0,
176,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec9_product26.cil.btor2,0,0,0,0,,,0,0,
177,benchmarks/wordlevel/array/2024/sosylab/product-lines/email_spec9_product35.cil.btor2,0,0,0,0,,,0,0,
178,benchmarks/wordlevel/array/2024/sosylab/reducercommutativity/max05-1.btor2,0,0,0,0,,,0,0,
179,benchmarks/wordlevel/array/2024/sosylab/reducercommutativity/max10-1.btor2,0,0,0,0,,,0,0,
180,benchmarks/wordlevel/array/2024/sosylab/reducercommutativity/sep20-1.btor2,0,0,0,0,,,0,0,
181,benchmarks/wordlevel/array/2024/sosylab/reducercommutativity/sep40-1.btor2,0,0,0,0,,,0,0,
182,benchmarks/wordlevel/array/2024/sosylab/seq-mthreaded/rekcba_aso.1.M4-2.btor2,0,0,0,0,,,0,0,
183,benchmarks/wordlevel/array/2024/sosylab/seq-mthreaded/rekcba_aso.2.M1-2.btor2,0,0,0,0,,,0,0,
184,benchmarks/wordlevel/array/2024/sosylab/seq-mthreaded/rekcba_aso.4.M4.btor2,0,0,0,0,,,0,0,
185,benchmarks/wordlevel/array/2024/sosylab/seq-mthreaded/rekcba_ctm.2-2.btor2,0,0,0,0,,,0,0,
186,benchmarks/wordlevel/array/2024/sosylab/seq-mthreaded/rekh_ctm.1.btor2,0,0,0,0,,,0,0,
